,0
බටහිරයන්ට,507
මොන,506
කරගෙන,506
උතුරු,505
සේවය,504
පටන්,504
කෙරෙන,503
මුල,502
ඉන්දියාවේ,501
හිමි,501
දින,501
ගන්නේ,500
කීමට,500
බටහිරයන්ගේ,496
කරුණක්,496
ඇමති,496
ගත්තේ,496
යුදෙවු,494
කෙරී,494
නැගෙනහිර,492
භික්ෂූන්,492
ඒවා,491
ජනයාට,489
නොමැති,489
ලංකාව,486
කල,485
අදත්,485
වෙන්,485
තිබෙන,484
කරනු,483
තිබිණි,483
යුදෙව්,482
නමින්,482
තබා,481
යෝජනා,480
සංශෝධනය,476
ඉන්දියාවට,476
පාසල්,475
තැන,475
ලෝක,475
කිසිවකු,474
එබැවින්,474
ජී,474
දන්නා,473
ඕනෑම,472
දුන්,472
පමණකි,469
වත්මන්,467
පළමු,467
රජු,467
ප්‍රභාකරන්,467
විපක්ෂය,466
විද්‍යාවට,464
කරති,462
පැරණි,460
ආර්ථික,460
සියලු,459
සංකල්පය,459
හේතු,459
දෙක,459
ඇය,458
විශ්වවිද්‍යාල,457
සහභාගි,457
කැමති,457
කිහිපයක්,456
වුව,455
විද්‍යාත්මක,455
අවසානයේ,454
ජනතාවට,453
මුදල්,451
වකුගඩු,451
නොවේ,450
ගොඩ,450
පාර්ලිමේන්තු,449
සංවිධානය,447
තිබුණ,446
විසුරුවා,446
පැමිණි,446
තිබුණෙ,442
කවුද,442
බිහි,441
එරෙහිව,441
තරමෙන්,440
සහාය,440
ගේ,439
දි,439
ජාත්‍යන්තර,439
ජාතිය,437
බැවිනි,432
සංකල්පයක්,431
පැහැදිලියි,429
අවසන්,428
වෙනුවට,428
බලාපොරොත්තු,427
විශ්වවිද්‍යාලයේ,427
කාලෙ,426
ගැනත්,424
අහන්න,424
ආරක්ෂා,423
ලියා,422
එවිට,418
සූදානම්,418
කාලයක්,417
අලුත්,416
කාලයේ,416
ග්‍රීක,415
හොඳයි,414
එක්ක,412
රටක්,412
දෙවැනි,412
මහින්දට,412
හමුදා,410
ලැබෙන,409
කතාකරන,409
ගිහින්,409
සිටියා,408
ඉහත,408
හෙවත්,405
ලංකාවෙ,400
වික්‍රමසිංහ,400
ආධාර,400
ගියේ,400
දැනට,398
කරයි,396
ක්වොන්ටම්,396
සීමා,395
උසස්,395
ජීවත්,394
පාලනය,394
නිදහස,393
හැටියට,391
මතය,390
නැද්ද,388
එංගලන්තය,387
සකස්,387
කීම,387
මුහුණු,386
රෝගය,386
දෙනවා,385
පක්ෂයක්,385
හැම,384
සමාජ,384
ත්‍රස්තවාදය,384
කතන්දර,384
දුන්නා,384
කඩා,383
ඉන්දීය,382
පාස්කු,382
හිටියා,381
පිළිතුරු,381
තියෙන්න,380
සටන්,379
සියවසේ,377
එංගලන්තයේ,377
වරදක්,377
කෙනකු,377
ගණිතය,376
ලිපිය,376
හෙළ,376
තැනක්,375
සංස්කෘතියේ,375
පාර්ලිමේන්තුවට,375
තමා,374
හිතන්නේ,373
හිතන්න,373
යන්නේ,372
පහර,371
මුල්,371
මහතාගේ,370
න්‍යාය,369
චීන,369
සාපේක්ෂව,367
දහනවවැනි,366
අනුගමනය,365
සංධානය,364
නැතත්,364
ආකාරය,362
සොයා,362
මුස්ලිමුන්,362
කළත්,362
විදේශ,362
මාධ්‍ය,361
දුන්නේ,360
වචන,358
ව්‍යාජ,357
නායකත්වය,357
ඉන්නෙ,356
පවත්වාගෙන,356
නැතැයි,355
අවබෝධ,355
වෙනසක්,355
ලැබූ,355
කොහොමටත්,354
ආයතන,354
දෙන්නේ,353
එම,352
ජන,351
චන්ද්‍රිකා,350
ජේ,348
බලා,348
පැමිණ,347
පෙරමුණ,347
එකට,347
ඉල්ලා,346
දක්වා,346
උන්වහන්සේ,345
යෑම,344
සමහරු,344
කලකට,342
කිනම්,342
පිටුපස,342
බුදුන්,340
ජනතා,340
තරග,340
ව්‍යවස්ථාවක්,340
සභාව,339
සජිත්,339
ඒකට,338
එන,338
ජාතිකවාදීන්,337
පෙන්වා,337
බොරුවක්,336
මහාචාර්ය,335
ටික,335
තොරතුරු,335
ක්‍රමයක්,334
තහවුරු,332
කම්කරු,332
කොවිඩ්,331
පවතින,331
ඊට,331
මෙරටට,330
සුළු,330
විස්තර,330
සාපේක්ෂ,329
ඇත්ත,329
යොමු,329
බහුතරය,328
සුමන්තිරන්,328
බණ්ඩාරනායක,328
ඒකීය,328
පවතින්නේ,327
කියමින්,326
වර්ධනය,324
නොකළ,324
ජාතිවාදී,323
ගැමුණු,323
පර්යේෂණ,322
එල්,322
බලයට,321
ලැබෙන්නේ,320
පඬියන්ට,320
කසිකබල්,319
සභාපති,319
තත්වය,318
දිනෙක,318
නන්දිකඩාල්,318
ආදීන්,318
කාට,317
තානාපති,317
වීමෙන්,317
ආපසු,316
ආචාර්ය,316
ගත්ත,316
බෞද්ධයනට,316
පොතේ,315
හේතුවක්,315
මෙයින්,315
සහිත,314
වස්තු,314
කිරීමක්,313
සිටිය,312
උපදෙස්,312
ආර්,312
නිවැරදි,311
තර්ක,311
රජයේ,310
එපා,309
ජයග්‍රහණය,309
පරීක්ෂණ,309
ජාතිකත්වයක්,309
දේශීය,308
දකුණු,307
හිතනවා,306
බැසිල්,305
බල,305
උගත්,305
කොටසක්,304
ආණ්ඩුක්‍රම,303
කණ්ඩායම,302
ලැබුණු,302
රැක,302
පැවැත්ම,301
එලෙස,301
විශේෂ,301
අතින්,301
නොකර,300
බලයක්,300
එසේත්,300
පදිංචි,300
නිරීක්ෂණය,300
නිවන්,299
යට,299
ටිකක්,297
ආධ්‍යාත්මික,296
වෙනස,296
අවසාන,296
වුනා,295
පොල්,295
සංවිධාන,294
කළහ,294
වාර්තාව,294
නායකයා,293
කාලෝ,293
සරත්,293
ගමන්,292
තවදුරටත්,292
ඉහළ,292
චෝදනා,292
මන්ත්‍රීවරුන්,291
වටා,291
හින්දු,291
ගැනීමේ,290
දිගට,290
කළු,290
සරල,288
මතක්,288
අයකුට,286
බලන්න,285
මුළු,284
කලක්,284
කීවේ,284
නිවන,284
විජාතික,283
රටක,283
ප්‍රත්‍යක්ෂ,282
තුනෙන්,282
ගිවිසුම,282
අංශු,282
හිමියන්,282
ජනාධිපතිට,281
ඇංග්ලිකන්,281
විපක්ෂ,279
අඩුම,279
සාමාජිකයන්,278
සයිටම්,278
රනිල්ගේ,278
තමන්ගේ,277
ජාතිකත්වයට,277
දරුවන්,277
ප්‍රජාතන්ත්‍රවාදය,276
අමාත්‍ය,276
නොවූ,275
කුඩා,275
ප්‍රශ්නයට,274
වාර්තා,274
අවශ්‍යතාව,273
ජනතාවගේ,273
නිකුත්,273
ලැබී,273
වූහ,273
වූවා,272
මණ්ඩලය,272
නොවී,271
හැකියි,271
කල්පනා,270
තොරව,270
නිශ්චිත,269
ජාතිවාදයට,269
හිතන්නෙ,269
පාලන,269
ජාතිවාදීන්,269
සිසුන්,268
අවස්ථාව,268
ඉදිරියට,268
හිටපු,268
කරුණ,267
ගත්තෙ,267
ප්‍රතිඵලයක්,267
සාධාරණ,266
ගෙදර,266
වන්න,266
නාථ,266
එතුමා,265
නායක,265
වග,265
බුද්ධාගම,265
කමක්,264
කිරීමයි,264
වනු,264
දේශනා,262
නිල,262
නම,262
පමණින්,261
ෆොන්සේකා,261
හැර,260
මොනවා,259
සෑම,259
ඉටු,259
එස්,259
තෙක්,259
වෙල්ලාලයන්,259
මිය,259
වෙදකම,259
සාක්ෂි,258
වාස්තවික,258
බෞද්ධයන්ට,258
සිද්ධ,258
ගුරුත්වාකර්ෂණය,257
ප්‍රතිඵල,257
එන්න,257
භාෂාව,257
සමාජයේ,256
නොමැතිව,256
ශක්තිමත්,256
නියම,255
පෙළ,255
ඉන්පසු,255
තුන්වැනි,254
ඉඩක්,254
කැලණිය,254
ලක්,254
මෙවැනි,253
මතක,253
එහෙමත්,253
සිටින්නේ,252
කෙරුණා,252
අවශෝෂණය,252
කරාවි,252
එක්තරා,252
පැන,252
මැතිවරණය,252
රාශියක්,251
අදහස,250
සෞඛ්‍ය,250
සංධානයේ,249
කොට,249
ව්‍යවස්ථාවට,249
ඉන්නේ,248
දුර්වල,248
ආරම්භ,248
සංයුක්ත,248
මැදිහත්,248
බුදු,247
අගය,247
ව්‍යාපාරය,246
ඔස්සේ,246
චම්පක,246
අවුරුද්ද,245
ගණන්,245
නිලධාරීන්,245
ලැබුණේ,244
කෙරුණු,244
ප්‍රචාරය,243
බැඳී,243
සමහරවිට,243
ධනපාල,243
ආගම,242
සිතමි,242
අයගේ,242
මංගල,242
ලබන,241
අත්,241
ඉදිරියේ,240
එරෙහි,240
විස්ස,240
මොකද,240
මධ්‍යම,239
හදනවා,239
පළමුව,239
මාක්ස්වාදය,239
සුදු,238
ජාතියක්,238
අදහසක්,238
සංස්කෘතියෙහි,238
රෝගයට,238
අත්සන්,238
ජනයාගේ,238
හාමුදුරුවන්,238
විශ්වාසභංග,237
ගනිමින්,237
අපේක්ෂකයා,237
යාපනයේ,237
ස්වාධීන,236
හුදු,235
ඇත්නම්,235
ආකාරයෙන්,235
පළාතේ,234
විතරක්,234
අනුර,234
සභාවේ,234
කරපු,233
පෙරමුණේ,233
විශ්වාසයක්,232
කොමිසම,232
අමරසේකර,232
පහුගිය,231
චින්තනයෙහි,231
අන්දමට,231
මතයක්,231
ලැබුණා,231
යක්ෂ,230
කෙළෙ,230
දැක,230
වනුයේ,229
කියයි,229
ආධිපත්‍යයට,229
රජරට,229
ගුණ,229
කියවා,229
රටවලට,228
විපක්ෂයේ,228
ඉංගිරිසියෙන්,228
ආකාරයකින්,228
ගත්කල,228
සුද්දන්,228
නොකරන,228
හමුදාව,227
නිවට,227
කියාවි,227
හිටියෙ,227
අත,226
ලකුණු,225
ලැබුයේ,225
දෙනකුට,225
එකී,224
මනසට,224
ප්‍රතිපත්ති,224
පැහැදිලිව,223
වරක්,223
නිර්මාණයක්,223
චින්තන,223
ලියන,223
සියල්ලන්,223
යුතුය,223
ප්‍රහාරය,223
නූතනත්වය,223
පත්කර,222
අවස්ථාවල,222
ඇමතිවරුන්,222
පුරුදු,222
සිදුවන්නේ,222
පියවර,221
තරමක්,220
නැට්ටන්,220
වඩාත්,220
ලිපියක්,219
ජාතිකත්ව,219
මුහුණ,219
සමාන,219
සමිති,219
ක්‍රම,218
අරමුණ,218
විරුද්ධයි,218
හේතුවෙන්,218
ජෙනීවා,218
ඇතුළත්,217
තිබුණත්,217
වුණු,217
සත්‍යය,217
මොනව,216
ප්‍රකාශයක්,216
දෙනාට,216
පුද්ගලයන්,215
තුරු,215
අධිකරණ,215
කවුරු,215
කෙරුණේ,215
කාලයක,214
බලපෑම්,214
දිනවල,214
විද්‍යාඥයකු,214
අහිමි,214
රෝගීන්,214
ඇතුල්,213
කතානායක,213
සාර්ථක,213
කොටස්,213
පිළිතුරක්,213
රතන,213
රසායන,213
බටහිරයෝ,212
පොලිස්,212
ඉඩම්,212
හුදෙක්,212
වන්නෙ,212
ලේකම්,212
බමුණු,211
ඝාතනය,211
ගන්නෙ,211
තරුණ,211
විශ්වවිද්‍යාලවල,211
සිතන්නේ,210
බලවත්,210
කියැවෙයි,210
සංස්කරණය,209
මණ්ඩලයේ,209
විශ්වාසය,209
අනුකරණය,209
වහන්සේට,209
ඒකෙ,209
තීරණ,209
සමාජය,208
දහතුන,208
ආකාරයකට,208
අසා,208
මිසක්,208
යන්නයි,208
ඔවුන්ගෙන්,208
සංස්කෘතියක්,208
දවස්වල,208
වලංගු,208
ව්‍යවස්ථාදායක,208
කියැවෙනවා,207
යන්නෙ,207
නඩු,207
පිට,207
සම්බන්ධකම්,207
මුළුමනින්,207
ඔවුන්ගෙ,206
රනිල්ගෙ,206
බලවේග,206
අයෙක්,206
අධ්‍යාපන,205
විග්නේස්වරන්,205
නියෝජනය,205
යටත්,205
පෙරමුණට,205
සිංහලයන්ගේ,205
පොහොර,205
පංති,205
දඬුවම්,204
ලැබෙනවා,204
නිසයි,204
විරෝධය,204
තිස්සේ,203
ලවා,203
රාජකීය,203
සිංහලෙන්,203
දර්ශනය,203
සුදුසු,202
තහනම්,202
දෙකේ,202
පොත,202
යෝජනාවක්,202
සිතිය,202
පාසල්වල,202
සිටිනවා,202
උරුමය,201
නිරීක්ෂණ,201
ක්‍රමයට,201
හරියට,201
යන්නෙන්,201
මන්ත්‍රී,201
අනුමත,201
වෙබ්,201
ගණනක්,201
උපාධි,200
දිනය,200
ශක්තියක්,200
මාක්ස්වාදී,199
ප්‍රතිපත්තිය,199
අවබෝධයක්,199
දනිමු,199
යුතුව,198
මෙයට,198
හැකිය,198
මනසක්,198
තිස්ස,198
ගුරුත්වාකර්ෂණ,197
හිතන,197
භාර,197
තුනක්,197
නිර්මාණ,197
හැරෙන්නට,196
ප්‍රවාදයක්,196
කාරක,196
සංඛ්‍යාව,196
ලියූ,195
සම්පූර්ණයෙන්,195
මතවාද,195
හදන්න,195
කිව්වෙ,195
තෝරා,195
දකින්න,195
සාමාන්‍යයෙන්,195
යෝජනාව,194
තියෙනව,194
උපුටා,194
අවාසනාවකට,193
ක්‍රමයෙන්,193
මාස,193
සම්බන්ධයක්,193
ප්‍රශ්නවලට,193
පවත්වා,192
ඇවිත්,192
ඉස්සර,192
නාම,192
ගීය,191
යන්නට,191
මිනිසුන්ට,191
විප්ලවය,191
කිව්වා,191
පිහිටුවා,191
චීනය,191
චලනය,190
කියැවෙන,190
විතරයි,190
ප්‍රතිකාර,190
ලොකු,189
දැමීමට,189
නොදැන,189
අවස්ථාවේ,189
හැරෙන්න,189
වචනය,189
පොළොව,188
ඇත්,188
අති,188
අයිතිය,188
දහතුන්වැනි,188
නමක්,188
විද්‍යාඥයන්ට,187
හඳුන්වා,187
පළමුවෙන්,187
මෙසේ,187
සම්පාදනය,187
වෙල්ලාල,187
කරගත,187
පසුපස,186
ඔත්තු,186
දමා,186
දැනගැනීමට,186
එක්කෝ,186
හරහා,186
සිදුවන,185
අශෝක,185
සමාජයීය,185
ප්‍රසිද්ධ,185
පොදුජන,185
තැනක,185
දෙන්නෙ,185
අහවල්,185
පනත,185
වීමේ,184
පැවති,184
විවේචනය,184
පිරිස,184
කෙතරම්,183
අධ්‍යාපනයක්,183
එමගින්,183
ප්‍රමාණයක්,183
පොදුවේ,183
සිල්වා,183
සංස්කෘතීන්,182
බහුතරයක්,182
විවෘත,182
වහන්සේගේ,182
ජනමාධ්‍යවේදීන්,182
විෂය,182
වෙමින්,181
ඒමට,181
පවා,181
පැත්තකින්,181
නිසි,181
කොමිසමේ,181
ට්‍රම්ප්,180
රාජිත,180
කරගත්,180
නායකයන්ට,180
මහත්,179
පාරම්පරික,179
හිතළු,179
මතු,179
දේශපාලනයේ,178
පළාත්වල,178
වචනවලින්,178
සමසමාජ,178
පීරිස්,178
විද්‍යාවෙහි,178
අන්,177
හොඳින්,177
මගෙන්,177
සත්‍ය,176
තුළ,176
දේශපාලනයක්,176
වූවක්,176
නොදන්නා,176
ආරක්ෂාව,176
තිබුණු,176
ප්‍රතිචාර,176
වරාය,175
ආරක්ෂක,175
අස්,175
නූතනත්ව,175
වෘත්තීය,175
කියති,175
ගිවිසුම්,175
පුද්ගලයකු,174
තේරෙන,174
ඉතිරි,174
හිටිය,174
කෙරෙයි,174
බය,173
ඉතිහාසයේ,173
එයයි,173
සංස්කෘතියෙන්,173
ගරු,173
පිටින්,172
දීල,172
වචනයක්,172
පඬියකු,172
හෙට,172
නොවන්නේ,172
ආගමික,172
සමත්,171
පරමාධිපත්‍යය,171
වරද,171
වුණොත්,171
පියා,171
අමතර,171
ප්‍රකාශය,171
පක්ෂයෙන්,171
පක්ෂවල,170
වහාම,170
යා,170
කවුරුන්,170
ජීවන,170
හැඳින්වෙන,170
නැත්තේ,170
චින්තනයේ,169
දශකයේ,169
සටන,169
වැඩියෙන්,169
උදාහරණයක්,169
යම්කිසි,168
ධුරය,168
දැනුමට,167
ථෙරවාද,167
මග,167
තිබී,167
සම්ප්‍රදාය,167
කියමු,166
ලෙසයි,166
ද්‍රව්‍ය,166
තීරණයක්,166
පංතිය,166
එකක්වත්,166
දේශපාලනයෙන්,165
ලැබෙයි,165
එයත්,165
ගැති,165
පශ්චාත්,165
දේශපාලනික,165
දෙරණ,164
සිතා,164
වෛද්‍යවරුන්,164
සූර්යයා,164
ඇයට,164
පැමිණියේ,164
මෛත්‍රිපාලගේ,164
යටත්විජිත,163
දනිමි,163
ප්‍රසිද්ධියේ,163
අවස්ථාවක,163
මහින්දගේ,163
පේනවා,163
වසර,163
අකමැති,163
ප්‍රමුඛ,163
ඩී,163
මරා,163
බෙදා,163
මෙහෙයුම්,163
කෙනෙක්,162
නිගමනය,162
පිටරට,162
පොත්,162
පෙන්නුම්,162
මියන්මා,161
ඉන්දියාවෙ,161
චින්තනයට,161
රවි,161
ජීවිතයේ,161
කණ්ඩායමේ,161
නැත්,161
අලි,160
තේරෙන්නේ,160
ජීවත්වන,160
සම්බන්ධන්,160
පොඩි,160
මැද,160
අයුරින්,160
චින්තනයක්,159
මහජන,159
අවශ්‍යතාවක්,159
බටහිරට,159
ගැනීමෙන්,159
එහෙමයි,159
අවධාරණය,159
කෙරෙහි,159
සලකා,159
සංගත,158
ගුණදාස,158
ව්‍යාපාරයේ,158
එන්නත,158
ආණ්ඩුවෙන්,158
රණවිරුවන්,158
යයි,158
එංගලන්තයට,158
හැකියාව,158
ක්‍රිකට්,158
ජාතිකත්වයේ,158
ඉක්මණින්,157
අවස්ථාවක්,157
කාර්යය,157
සූත්‍රය,157
විරෝධීන්,157
තරමක,157
හොයා,157
එකයි,157
ප්‍රමාණයකට,157
තනි,157
ලන්දේසි,157
අධ්‍යාපනයෙන්,156
ජනප්‍රිය,156
කීවත්,156
ගනිමු,156
පද්ධතියක්,155
වුවහොත්,155
ජනමත,155
දේශපාලනඥයන්ට,155
නැත්තෙ,155
ඇසුරෙන්,155
ලබාගත්,155
හැකියාවක්,155
බුද්ධි,154
සභ්‍යත්ව,154
සිතන,154
උපකල්පනය,154
ලෝකයක්,154
දක්වන,154
පේන්න,154
පුරා,153
නායකත්වයෙන්,153
යෑයි,153
ඇතිව,153
කිසිසේත්,153
එල්ල,153
තේරෙන්නෙ,153
තමන්ගෙ,153
ඇගේ,152
තුල,152
පොහොට්ටුව,152
අභියෝග,152
අධිකරණය,152
මනසින්,152
බුද්ධාගමට,152
කිව්ව,152
තර්කය,152
ලියන්න,152
සුව,151
ගත්තත්,151
දන්න,151
අරගෙන,151
කුල,151
නොවිය,151
ඕල්කට්,151
වුනත්,151
ගෝඨාභයට,151
ලබාගත,150
කවු,150
දේශපාලනයට,150
ඔබ,150
පහළ,150
පෙන්වීමට,150
පරිසරය,150
ඒකෙන්,150
පැත්තෙන්,150
එපමණක්,149
උඩ,149
උනන්දුවක්,149
පොළොවට,149
තිබීම,149
යුද්ධ,149
පක්ෂවලට,149
පොලීසිය,148
විකාශය,148
ගුණවර්ධන,148
ප්‍රමාණවත්,148
සුපුරුදු,148
අයින්ස්ටයින්,148
දත්ත,148
ඔහුගෙ,148
අවුල්,147
වෙන්නත්,147
දැනුමේ,147
යථාර්ථයක්,147
මිනිසා,147
දෙනෙක්,147
මෙි,147
බුද්ධිමතුන්,147
යථාර්ථය,147
විනාශ,147
පිළිගන්නේ,147
නීතියක්,146
අයගෙන්,146
දිගින්,146
ඉංගිරිසින්ට,146
දිසානායක,146
විසිනි,146
සිවිල්,146
ධර්මය,146
අත්අඩංගුවට,146
