index,corrected_sentence
120232,මේ අනුව අපට කිව හැක්කේ වේදනාව සංස්කෘතියට සාපේක්ෂ වන්නේ මනස යම් ධර්මයකින් ගලවා ගැනීමට හෝ ගැලෙන්නේත් නැතිව නොගැලෙන්නේත් නැතිව පවත්වා ගැනීමට සංස්කෘතියෙන් පුහුණුවක් ලබාදෙන නිසා බවය
127287,යම් හෙයකින් බටහිර පෞද්ගලිකත්වය අභිබවා සාමූහිකත්වය ජයගත හොත් අද දකින බටහිර සංස්කෘතිය දේශපාලනය හා ආර්ථිකයට හාත්පසින් වෙනස්වූ සංස්කෘතියක් දේශපාලනයක් හා ආර්ථිකයකින් හෙබි සමාජයක් බටහිර බිහිවනු ඇත
86190,දහ නවවැනි ව්‍යවස්ථා සංශෝධනය ගෙන ආවේ මාදුළුවාවේ සෝභිත හිමියන්ගේ ඊනියා සාධාරණ සමාජයවත් අතුරලියේ රතන හිමියන්ගේ ඊනියා පිවිතුරු හෙටක්වත් ඇති කිරීමට නොවන බව අපි දිගට ම කීවෙමු
12068,අපි මෙතෙක් බිඳිය නොහැකි කළු ගලක් සේ හුවා දැක්වුණු දහ තුන්වැනි සංශෝධනය අහෝසි කිරීමට පුළුල් ව සාකච්ඡා කරමු
17051,ආණ්ඩුවකට තමන් හිතූ හිතූ දේට විදේශීය රටවල් සමග එකඟතාවන්ට පැමිණෙන්නට බැහැ
9751,අප හමුදාවෙන් ඉල්ලා හිටිනවා වෙල්ලාල නොවන්නන්ගේ ලිං ඉහල දෙන්න කියා
21449,ඉන්දියාවෙ බෞද්ධයන් කොපමණ හිටියත් ලංකාවට තානාපති කෙනකු එවන විට බෞද්ධයකු ම එවන්න හිතන්නෙ නැහැ
59339,ඒත් ඇංග්ලිකන් ක්‍රිස්තියානි සංස්කෘතියෙ ජේ ආර් දැන ගෙන හිටියෙ නැහැ සිංහල බෞද්ධයන් දිර්ඝ ධර්ම දේශනාවලට සවන් දීමට පුරුදු වී සිටි බව
65674,ඔවුන් හිටියෙ චන්ද්‍රිකා එක්ක
75139,කිසි දිනෙක මාක්ස්වාදය හරි හැටි නොදැන හිටියත් තමන් දන්නා මාක්ස්වාදයක් අනුව කටයුතු කරන ජ වි පෙ ඊනියා ජනතාවාදයක් ප්‍රජාතන්ත්‍රවාදයක් වෙනුවෙන් විධායක ජනාධිපති ක්‍රමයට විරුද්ධ බවක් කියනවා
94244,පඬියන් ටික කාලෙකට ඉස්සෙල්ල දැන හිටිය නම් ඒ දැන හිටියෙ ඊනියා අරාබි සංඛ්‍යා පද්ධති ගැන
104183,බැසිල් හිටියෙ පිටරට
110721,මා එය දැන හිටියෙ නැහැ
129657,රනිල් හිටියොත් ව්‍යවස්ථාවත් සම්මත කර ගන්නවා
139529,සමහරවිට ප්‍රභාකරන් හිටියා නම් ඔය මහින්දවාදීන් ප්‍රභාකරන්ට වඩා මෛත්‍රිපාලට වෛර කරන්න තිබුණා
90043,දේශීය වෙදකම නිසා කිසිවකු මරණයට පත් වුණොත් හිනාවෙන පඬි නැට්ටන්ට බටහිර රෝහල්වල දිනපතා මිය යන රෝගීන් පෙනෙන්නේ නැහැ
74473,කාලය වෙබ් අඩවිය කියන්නෙ විද්‍යාලංකාර පිරිවෙනේ අපවත් වී වදාළ පූජ්‍ය කොටහේනේ පඤ්ඤාකිත්ති හිමිපාණන් වහන්සේ ආරම්භ කළ පුවත්පතක වත්මන් අනුප්‍රාප්තිකය
83114,ඥානසාර හිමියන් රතන හිමියන්ට සහයෝගය දක්වමින් තමන්වහන්සේ නිදහස් කරන ලෙස ඉල්ලා සිටි අසාද් සාලි හා හිස්බුල්ලා ඉවත් කරන මෙන් ඉල්ලා නුවර සිට කොළඹට පාද යාත්‍රාවක් ඇරඹුවා
103440,බදුර්දීන් ඒ ගමන එක්සත් ජාතීන්ගේ සංවිධානයට යන්න හදනව මුස්ලිම් ජනතාවට ලංකාවෙ හිරිහැර කරනව කියන්න
142410,සිංහල රජවරුන් කතෝලික පෘතුගීසීන්ගේ හිරිහැරයට පාත්‍ර වූ මුස්ලිමුන් ආරක්ෂා කර වත්මන් නැගෙනහිර පළාතේ පදිංචි කෙරුවා
120512,මේ ආණ්ඩු හරහා අද අපට හිමිවී ඇත්තේ රාජ්‍යයක හොල්මණක් පමණි
145977,හින්දු සම්මේලනය හා වෙල්ලාල නොවන දෙමළ ජනයාත් එකතු කර ගන්න ඕන
63466,ඔවුන් කිසි දිනෙක කතෝලික ක්‍රිස්තියානි හින්දු මුස්ලිම් සංස්කෘතියට එසේ කරන්නේ නැහැ
107464,මට පාසල්වලත් විශ්වවිද්‍යාලවලත් උගන්වා ඇති හොඳම ගුරුවරු සිංහල බෞද්ධයන් නො වෙයි
48501,ඒ එසේ වුණත් සිංහල පඬියන් නම් සිංහලයන්ට විශේෂයෙන් ම සිංහල බෞද්ධයන්ට දොස් කියන එක කිසි දිනෙක නවත්වන එකක් නැහැ
14210,අයියෝ මාගේ යෞවන කාලේ මෙහෙම ද ගතවුයේ කියලත් හිතෙනවා
21036,ඉන්දියානුවන්ට එහා යන බටහිරයෝ එමගින් ඊනියා යුද්ධාපරාධිකරණ චෝදනා නගමින් මහින්ද රාජපක්ෂ හා ගෝඨාභය රාජපක්ෂ මහත්වරුන් දරුණු යුධ අපරාධකරුවන් ලෙස හඳුන්වා මරණ දඩුවම දීමට
121108,මේ කණ්ඩායම න්‍යායික වශයෙන් නම් එතරම් ශක්තිමත් නොවන බව ඔවුන් ලංකා පුවත්පතේ පළකරන අනුකාරක ලිපිවලින් ද එක් තැනැත්තකු විශේෂයෙන් ම රුසියන් පොත්වලින් පිටපත් කරමින් ක්වොන්ටම් භෞතික විද්‍යාව ගැන ලියූ සත පහක් නොවටිනා පොතෙන් ද හෙළිවෙයි
27664,එනම් මගේ මනසට ඉන්ද්‍රිය පද්ධතියට හා සංස්කෘතියට සාපේක්ෂයි
24470,උම්මග්ග ජාතකයෙ ගොවියා පුත් මහෞෂධ කියලා කියන්නෙ මහෞෂධ පඬිතුමා ගොයිගම කියන එක ද දඹදෙණි යුගයෙත් ගොයිගම කියලා කුලයක් තිබුණෙ නැහැ
26828,එතැන දි අයිතිය දැනගන්න මහෞෂධ පඬිතුමා බොහෝම ප්‍රායෝගික වැඩක් කළා
60244,ඒත් ගොවියා පුත් මහෞෂධ කෙනෙකු නම් නොවෙයි
85718,දඹදෙණි යුගයේ ගොවියා පුත් මහෞෂධ පඬිතුමා ද යක්ෂ ගෝත්‍රයට අයත් වූ බව පැහැදිලි ය
85825,දරු දුක තේරෙන්නෙ කාට ද දරුවා අයිති ඒ තැනැත්තියට කියලයි මහෞෂධ පඬිතුමා කිවුවෙ
103559,බය හා දුර්වලකම අතින් අරන් ඉපදී ඇති මෛත්‍රිපාල කුමක් හෝ අතින් ගෙන ඉපදීමෙන් නම් මහෞෂධ පඬිතුමාට සමාන කරන්න පුළුවන්
110247,මහෞෂධ පඬිතුමා දැන් නඩු අහන්නෙ නැහැ
117686,මෙරට ඉතිහාසයේ පෙර ද සිදු වී ඇති ආකාරයට මහෞෂධවරුන් හමුවේ බමුණෝ පැරදුණ හ
