index,corrected_sentence
89720,දේශීය ධනපති පංතිය සුළු ධනේෂ්වරය ආදී සංකල්ප ව්‍යාජ පඬියන්ට කතා කිරීමට හොඳ මාතෘකා මිස සතපහකට වැඩක් ඇති සංකල්ප නො වේ
73903,ක්වොන්ටම් භෞතිකයෙහි සංඛ්‍යාතියක් ඇති ෆෝටෝනයක ශක්තිය මේ ලෙස දැක්විය හැකි ය
102160,බටහිර විශ්වවේදීන් එහි අගය තේරුම් කරන්නේ කෙසේ ද ඔවුන්ට ඒ සඳහා මානවකේන්ද්‍රීය නොවන පට්ටපල් බොරුවක් ගෙතිය හැකි ද
71105,ඔහුගේ දැනුම් පද්ධතිය අනුව බුදුන් වහන්සේ මිසදිටුවකු වන්නේ නැද්ද එසේත් නැත්නම් ටියුඩර් කියන්නේ බුදුන් වහන්සේ බුදුදහමට අනුව මිසදිටුවකු නොවන බවත් එහෙත් සිදුහත් කුමරු දහමට සාපේක්ෂව මිසදිටුවකු බවත් ද ටියුවර් කියන්නේ බුදු දහමට අනුව මිසදිටු නොවීමට නිවන් අවබෝධ කරගත යුතු බව ද
71106,ටියුඩර් කියන අන්දමට අප සියළු දෙනාත් මිසදිටුවන් වෙන්න ඕන
86366,දළ ජාතික නිෂ්පාදිතය ගණනය කරන්නේ කෙසේ ද යන්න නොදත් දේශපාලන විද්‍යාව උගන්වන කථිකාචාර්යවරු ද වෙති
98550,පිරිනිවන් පෑමෙන් පසුව මනස විඥානය ආදියෙහි පැවැත්ම පිළිබඳ ව එවැනි ම වූ පිළිතුරක් දිය හැකි නො වේ
9595,අප ස්‌වභාවධර්මයට අවශ්‍ය ප්‍රෝටීන නිෂ්පාදනය කරමින් සිටියි
82767,ජීවීන් ගේ මරණයට පසු ප්‍රෝටීන ඉතිරි වන ලෙස සැකසී ඇත්තේ ඇයි එසේ නම් ජීවීන් ගේ ජීවිතයේ අරුත ප්‍රෝටීන නිර්මාණය කිරීම විය යුතු ය
106779,මගේ විශ්වාසය සිංහලයන් පළමු වරට ශුන්‍ය සඳහා සංකේතයක් නිර්මාණය කළ බවයි
140831,සාදු සාදු සාදු අපට ඊනියා විද්‍යාත්මක බුදුදහමේ ශාස්තෘන් කෙනකු පහළ වී ඇත
17475,ආයුර්වේදයෙන් සුව වන්නේ තුන්වැනි වර්ගයේ රෝග ය
68618,ඔහු එසේ කියන්නේ ආයුර්වේදය ද බටහිර විද්‍යාව ද එක ම විද්‍යාවක්‌ යෑයි කියන අතර ය
8002,අප එලෙස ලියන්නේ නැහැ
23989,උදාහරණයක් ලෙස ගතහොත් සාධාරණ ව ත්‍රිකෝණයක කෝණ තුනෙහි එකතුව සෘජුකෝණ දෙකක් බව සාධනය කරනු ලැබිණි
16614,ආණ්ඩුකම ව්‍යවස්ථා මණ්ඩලය පත්කිරීම සඳහා යෝජනා සම්මතය
1677,අද එය නැවත ක්‍රියාත්මක කිරීම ප්‍රායෝගික නොවුණත් සෛද්ධාන්තික වශයෙන් ගත්කල එහි දොසක් දැකිය හැක්කේ ප්‍රමිතිකරණය යනු කුමක් දැයි නොදත් සිංහල විරෝධී කසිකබල් සතිඅන්ත පුවත්පත් කතුවරයකුට හා වෙනත් එවැනි පඬියන්ට පමණකි
5000,අද සෛද්ධාන්තික භෞතික විද්‍යාඥයකුට ඉතිහාසගත වීමේ අවස්ථාව උදා වී ඇත
5418,අදාළ සෛද්ධාන්තික දැනුම ලබාගත යුතු ය
10266,අපට ඒ කසිකබල් දැනුම සෛද්ධාන්තික තලයේ පැරදවීමට හැකි විය
10816,අපට බටහිර ගණිතය බටහිර සෛද්ධාන්තික නැත්නම්
11515,අපි එකල සිංහල බෞද්ධ ක්‍රමය විකල්පය ලෙස සලකමින් සෛද්ධාන්තික ව ඒ පිළිබඳ හැදෑරුවෙමු
16035,අවුරුදු විසිපහක පමණ කාලයක් මා විසින් බොහෝ විට ආචාර්යවරයකු ලෙස තනිවම එහෙත් කොළඹ හා කැලණියේ ශිෂ්‍යයන්ගේ ද ආධාරය සහිතව සෛද්ධාන්තික මටිටමක කරන ලද අධ්‍යයන දැන් තවත් ආචාර්යවරුන් කිහිප දෙනකු සමගින් ශිෂ්‍යයන් ද එකතු කරගෙන ප්‍රායෝගික ව කිරීමට ඉඩක් ලැබී ඇත
20868,ඉන් පෙර මා සිතා සිටියේ සෛද්ධාන්තික භෞතික විද්‍යාව පිළිබඳ විශාරදයකු වීමට ය
33334,එයට හේතුව මගේ මනසට එය බටහිර ගණිතය හෝ බටහිර සෛද්ධාන්තික භෞතික විද්‍යාව හෝ තරම්වත් සෛද්ධාන්තිකව පොහොසත් නො වීම ය
39304,එහෙත් උසස් පෙළ පරීක්ෂණයෙහි දී එකල තිබූ ලකුණු ලබාදීමේ පටිපාටිය අනුව භෞතික විද්‍යාව අසමත් වූ ඇතැම් වර්තමාන මහාචාර්යවරු බටහිර ගණිතය පිළිබඳ මනා අවබෝධයක් හෝ අයින්ස්ටයින්ගේ අන්තර්ඥානය හෝ නොමැතිව බටහිර භෞතික විද්‍යාව පිළිබඳ ජනප්‍රිය පොතපත කියවා බටහිර සෛද්ධාන්තික භෞතික විද්‍යාවේ දර්ශනය පිළිබඳ විහිළු සපයති
39896,එහෙත් එයට පෙර ඔහුට ක්වොන්ටම් භෞතිකය ඇතුළු සෛද්ධාන්තික භෞතිකය තේරුම් ගැනීමට තබා සරල සිංහලෙන් ලියූ ප්‍රකාශයක්වත් කියවා තේරුම් ගැනීමට තරම්වත් හැකියාවක් නැති බව එක් උදාහරණයකින් දැක්වීමට කැමැත්තෙමි
44012,එහෙත් මම බටහිර ගණිතයට හා සෛද්ධාන්තික භෞතික විද්‍යාවට ප්‍රිය කළෙමි
47078,ඒ අතින් ගතහොත් ගැලීලියෝ පරීක්ෂණාත්මක විද්‍යාඥයකු විණි නම් නිව්ටන් සෛද්ධාන්තික විද්‍යාඥයෙක් විය
55156,ඒ වයස මිස ඔහු සෛද්ධාන්තික භෞතික විද්‍යාව හැදෑරීමට ගතකල කාලය නො වේ
57470,ඒ සෛද්ධාන්තික නැත්නම් ප්‍රවාදාත්මක භෞතික විද්‍යාඥයන් අතින්
66563,ඔවුන්ට අවශ්‍ය සෛද්ධාන්තික ගණිතමය සංගත බව පමණකි
68908,ඔහු කැනඩා ජාතික පර්යේෂණ මණ්ඩලයේ   ක්වොන්ටම් භෞතික විද්‍යා අංශයේ ද මොන්ට්‍රියල් විශ්වවිද්‍යාලයේ සෛද්ධාන්තික භෞතික විද්‍යා අංශයෙහි ද සේවය කරන්නේ යැයි කියැවෙයි
70045,ඔහු බටහිර සෛද්ධාන්තික භෞතික විද්‍යාව හැදෑරීමට අවුරුදු විසිපහක් ගතකර නොතිබිණි
73927,ක්වොන්ටම් භෞතිකයේ සෛද්ධාන්තික වර්ධනය ඇණ හිටීමෙන් පෙන්නුම් කරන්නේ ඒ බව ය
79085,චන්ද්‍රසිරි ධර්මවර්ධන නොදැන සිටියාට ප්‍රභාකරන් පැරදවිය නොහැකිය යන බටහිර දැනුම අපි සෛද්ධාන්තික ව පරාජය කෙළෙමු
100578,බටහිර ගණිතය හා සෛද්ධාන්තික භෞතික විද්‍යාව ඉතා වියුක්ත ය
101072,බටහිර භෞතික විද්‍යාවේ පසුගිය අවුරුදු අසූවක පමණ කාලයක අළුත් සෛද්ධාන්තික වර්ධනයක් වී නැත
102148,බටහිර වියුක්ත ගණිතය ගැන එතරම් අවබෝධයක් නොමැතිව බටහිර සෛද්ධාන්තික භෞතික විද්‍යාච පිළිබඳ අවබෝධයක් ලබාැනීමට අයින්ස්ටයින්ගේ ගණයේ අන්තර්ඥානයක් තිබිය යුතු ය
102531,බටහිර සෛද්ධාන්තික භෞතික විද්‍යාවෙහි ප්‍රතිඵල මැණීය හැකි ආකාරයකින් බොහෝ විට ඉදිරිපත් කෙරෙයි
105221,බොහෝ අයට බටහිර සෛද්ධාන්තික භෞතික විද්‍යාව හැදෑරීමට බටහිර වියුක්ත ගණිතය අත්‍යවශ්‍ය වෙයි
105365,බොහෝ දෙනා නොදැන සිටියාට ප්‍රභාකරන් පැරදවිය නොහැකිය යන බටහිර දැනුම අපි සෛද්ධාන්තික ව පරාජය කෙළෙමු
111763,මා ගණිතය පිළිබඳ රජයේ ශිෂ්‍යත්වය දිනාගෙන ඒ වයසේ දී එංගලන්තයේ සසෙක්ස් විශ්වවිද්‍යාලයට ඇතුල් වූයේ බටහිර සෛද්ධාන්තික භෞතික විද්‍යාඥයකු වීමට ය
111764,මා ගණිතය පිළිබඳ රජයේ ශිෂ්‍යත්වය දිනාගෙන ඒ වයසේ දී සසෙක්ස් විශ්වවිද්‍යාලයට ඇතුල් වූයේ බටහිර සෛද්ධාන්තික භෞතික විද්‍යාඥයකු වීමට ය
114760,මැතිවරණ ප්‍රකාශයකින් සෛද්ධාන්තික ව කෙරෙන්නේ මේ ආකර්ෂණීය වන්නේ යැයි සිතන කොටස් අදාළ ඡන්දදායකයන්ට ඉදිරිපත්කර ඔවුන්ගේ ඡන්දය දිනාගැනීම ය
117066,මෙය මුළුමනින් ම සංකල්පීය හා සෛද්ධාන්තික වශයෙන් ගත්කල දෝෂ සහිත ය
122633,මේ ප්‍රවෘත්තිය මුල්වරට මා ඇසූ අවස්ථාවෙහි මට මතක් වූයේ අවුරුදු හතළිස් අටකට පෙර මා බටහිර සෛද්ධාන්තික භෞතික විද්‍යාඥයකු ව්‍යවහාරික ගණිතඥයකු වීමේ පරම පවිත්‍ර ඒකායන අරමුණින් පේරාදෙණිය විශ්වවිිද්‍යාලයේ බටහිර විද්‍යා පීඨයේ පළමු වසර සිසුවකු ලෙස ඇතුල් වී වැඩිකල් නොගොස් අසන්නට ලැබුණු බයිලාවකි
123138,මේ මහාචාර්යවරුන්ට අනුව බටහිර රටවල විද්‍යාවේ දර්ශනය ගැන කතාකරන්නන් බොහෝ විට බටහිර සෛද්ධාන්තික භෞතික විද්‍යාඥයන් වුව ද ලකොවේ ජෛවීය විද්‍යා අංශවල මහාචාර්යවරු බටහිර විද්‍යාවේ දර්ශනය ගැන කතාකිරීමට බොහෝ විට පෙළඹෙති
128257,රටට නොව තම ආයතනයේ සේවය කරන අනෙක් අයගේ වැටුපට කුමක් වේ ද තම වැටුප පමණක් වැඩිකර ගැනීමෙන් ආයතනයේ ස්ථායිතාවට කුමක් වේද යන්න පිළිබඳව සිතන අය කෙතෙක් වෙත් ද ජ වි පෙරමුණට ඒ පිළිබඳ සෛද්ධාන්තික විශ්ලේෂණයක් නැතිවුවත් ඔවුහු තම පැවැත්ම සඳහා ආයතන අස්ථායි කිරීමට ක්‍රියාකරන බව පැහැදිලි ය
132845,වඩාත් ම දක්ෂ බටහිර සෛද්ධාන්තික භෞතික විද්‍යාඥයෝ හා බටහිර දාර්ශනිකයෝ බටහිර යුරෝපයේ නැගෙනහිරට වූ රටවල් වන ඕස්ට්‍රියාව සුප්‍රසිද්ධ වියනා කවය නම් දාර්ශනිකයන්ගේ කවය ඕස්ට්‍රියාවෙහි අගනුවර වූ වියනා නගරය ආශ්‍රිත ව බිහිවිය
136576,වෙනත් අයුරකින් කිවහොත් බටහිර සෛද්ධාන්තික භෞතික විද්‍යාවෙහි කියැවෙන සංකල්පයක් හා බටහිර ගණිතයේ තාත්ත්වික සංඛ්‍යා අතර අනුරූපතාවක් තිබිය යුතු ය
141276,සෑදිය හැකි කෝණ සංඛ්‍යාව සෛද්ධාන්තික ව අනන්තයක් වෙයි
146516,සෛද්ධාන්තික ක්ෂෙත්‍රයකින් රාජකීය සංගමයේ අධිසාමාජිකත්වයක් ලැබු එකදු ලාංකිකයකු නැත
146517,සෛද්ධාන්තික ව නැත්නම් ප්‍රවාදාත්මක ව නම් අප ඉන්නේ පහළ මට්ටමක
28696,එමෙන් ම එය සෛද්ධාන්තික ව නව සංකල්පයක් හෝ ප්‍රවාදයක් ඉදිරිපත් කිරීමෙන් නොව කුරුළු උණ සම්බන්ධ වෛරසය පරීක්ෂණාගාරයේ දී හඳුනා ගැනීමෙන් ලබාගත්තකි
33334,එයට හේතුව මගේ මනසට එය බටහිර ගණිතය හෝ බටහිර ෙසෙද්ධාන්තික භෞතික විද්‍යාව හෝ තරම්වත් සෛද්ධාන්තික ව පොහොසත් නො වීම ය
49310,ඒ කිනම් අවස්ථාවක වුව ද දෘඪ වස්තුව දෘඪ නොවන වස්තුවකින් අඩුම තරමින් සෛද්ධාන්තික ව වෙන්කර ගන්නේ කෙසේ දැයි බටහිර භෞතික විද්‍යාඥයෝ දනිති
63050,ඔවුන් එසේ කරන්නේ සෛද්ධාන්තික ව ය
73277,කලක් තිස්සේ මෙරට විසඳීමට ඇති ප්‍රශ්නය ද ඉංගිරිසින් සෛද්ධාන්තික ව මෙරට අත්හැර යෑමෙන් පසුව මේ රටේ කටයුතු සිදුවිය යුත්තේ කාහට අවශ්‍ය අන්දමට ද යන්න ය
119934,මෙි ගැන මා ලියා ඇති මුත් ඒ සෛද්ධාන්තික ව ය
127594,යුද්දෙට නැති කඩුව කොස් කොටන්ට ද යන පිරුළ සිංහල බෞද්ධ සමාජයේ නිර්මාණය වූවක් බව පඬියෝ නොදනිත් ද  අප පඬියන්ගේ ප්‍රශ්නවලට පිළිතුරු දුන්නේ සෛද්ධාන්තික ව ය
146518,සෛද්ධාන්තික ව බටහිර විද්‍යාවට වැදගත් එකතු කිරීමක් කළ එකදු ලාංකිකයකු නැත
5038,අදත් අප අශ්වයන් ගැන කියනවා
19370,ඇයගේ මුතුන් මිත්තන් ඔස්සේ ආපස්සට යන අපට අවසානයේ දී ඒක සෛල ජීවයක් හමුවේ
49565,ඒ කියන්නේ සෛල ජීවත්වන බව
100667,බටහිර ජීව විද්‍යාවෙහි සෛල යන සංකල්පය නිර්මාණය කෙරී ඇත්තේ අංශු ආකෘතියෙහි ය
105588,බොහෝවිට මේ පර්යේශණ සඳහා යොදා ගැනෙන්නේ සතුන් හෝ කෘතිම සෛල පද්ධතිය
108676,මරණය කියන්නෙ මොකක් ද කියල බටහිර වෛද්‍ය විද්‍යාවට අනුව හරියට නොදන්න වෙලාවක සෛල මරණයට පත්වීම ගැන අවබෝධයක් නැති විට වෛරසය පවතින්න පුළුවන් ද වැඩෙන්න පුළුවන් ද යන්න ගැන බටහිර වෛද්‍ය විද්‍යාවට අනුව නිසි පිළිතුරු නැති විට කළ යුත්තේ මළ සිරුරු ආදාහනය කිරීම පමණයි
108921,මහා පිපිරුමෙන් පටන් ගෙන තාරකා ඔසසේ විවිධ පරමාණු නිර්මාණය කර ඇමයිනෝ අම්ල හා ප්‍රෝටීන නිර්මාණය වී ඒක සෛල ජීවියා නිර්මාණය වී ඩාවින්ගේ පරිණාමවාදයට අනුව මිනිසා නිර්මාණය වී විශ්වයට සේවය කිරීමක් මෙහි දී සිදුවෙයි
137185,වෛරසයට මිය ගිය අයකුගේ සෛලවල වැඩෙන්න පුළුවන් ද වැඩෙන්නෙ නැති වුණත් පවතින්න පුළුවන් ද මිය ගිය අයකුගේ ඒ ඒ සෛල මැරෙන්න කොතරම් වෙලාවක් ගන්නවා ද බටහිර වෛද්‍ය විද්‍යාවට අනුව ප්‍රාණියකු මෙහි දී මිනිසකු මිය යනවා කියන්නෙ කුමක් ද එය ඊනියා මොළය මරණයට පත් වීම ද වෙනත් එකක් ද
146519,සෛල බෙදි බෙදී කළලය ක්‍රමයෙන් මවු කුස තුළ වැඩෙයි
25615,එකම සෛලය දෙකට බෙදීමෙන් බිහිවන නිවුන් දරුවන් වෙනස්වන්නේ ඇයි දැයි බටහිර ජීවවිද්‍යාවට තේරුමි කළ හැකි ද හැකිනමි එසේ තේරුමි කරන ලෙස අපි අභියෝග කරමු
143680,සිරුරක් මත හරි සිරුරේ හරි වෛරසය පැවතීම කියන එක හා වෛරසය ජෛවී සෛලයක ප්‍රජනනය වීම කියන්නෙ දෙකක්
106070,භූමදාන කළොත් වෛරසය ඒ සෛලවල ගුණනය වේවි
133082,වයිරසය වැඩෙන්නේ ජීවියකුගේ සෛලවල කියනවා
130810,රිදෙනවා කියන්නේ මනසට සෛලවලින් යමක් සන්නිවේදනය වන බව
36040,එහි අජීවයෙන් ජීවය ඇති වී ඉන්පසු බහු සෛලික සංකීර්ණ සත්ත්වයන් ඇති වී මොළය නම් ඉන්ද්‍රිය ඇති වී මනස ඇති වෙයි
36281,එහි එකම අරමුණ සිංහලුන් බිය වද්දා වෙල්ලාලයන්ට බලය ලබාගෙන රටේ ස්වෛරීභාවය නැති කිරීම ය
52296,ඒ නිසා ස්වයං පාලනය හෝ බලය බෙදාගැනීම පිටුපස ඇත්තේ තමන්ට ස්වෛරී බවක් අත් කර ගැනීමේ අරමුණ නොවේයැයි ඔවුන්ට තර්ක කල නොහැක
90926,නමුත් ඔවුන් උතුරේ ස්වයං පාලනයක් නැත්නම් බලය බෙදාගැනීමක් සාධාරණය කරන්නේ අනන්‍යවූ ජාතියක් ලෙස ස්වෛරී රාජ්‍යයක වෙසීම දෙමළ ජනයාගේ අභිලාෂය බව පෙන්වමිනි
96404,පළාත් සභා මැතිවරණයට පෙර හා පසු දෙමළ නායකයින් තම ක්‍රියාකාරකම් තුලින් අපට ඉඟි කරන්නේ විශේෂයෙන්ම යාපනයේ දෙමළ ජනයාගේ අභිලාෂය අනන්‍යවූ ජාතියක් ලෙස ස්වෛරී රාජ්‍යයක වෙසීම බවය
68013,ඔවුහු ස්වෛරීභාවය බෙදාහදා ගැනීමක් කියති
52085,ඒ නිසා දෙමළ ජනයා උතුරේ ස්වෛරීය බවක් අත් කර ගැනීම තුලින් සිංහලුන්ගේ ස්වරීය බව නැතිවනු ඇත
143122,සිංහලුන්ගේ ස්වරීයභාවය නැති කරගනිමින් දෙමළුන්ට ස්වෛරීය බවක් අත් කර දිය යුතු යැයි කීම අසාධාරණය
137870,ශ්‍රී ලංකාවට ආණ්ඩුකම ව්‍යවස්ථාවක් සම්මත කර ගත යුතු යැයි ශ්‍රී ලාංකික ජනතාව අතර පුළුල් එකඟතාවයක් ඇති හෙයින් ද
9966,අපට අවශ්‍ය දෙමළ හා මුස්ලිම් ජනයාට ව්‍යාජ ඉතිහාසයක් හිමිකර සිංහලයන්ට මෙරට හිමි තැන නැති කිරීම නොව දැනටමත් සිංහලයන් ගොඩනගා ඇති ජාතියට දෙමළ හා මුස්ලිම් ජනයා ද ඇතුළත් කරගන්නේ කෙසේ ද යන්න සොයා බැලීමයි
10784,අපට පෙනෙන විවිධ පැහැය සහිත මල් ඒ විවිධ පැහැයෙන් ම සුසිනිදු බවකින් යුක්තව පවතින්නේ යැයි අපි සිතමු
108728,දෙමළ කතාකරන පිරිස මලබාර් යනුවෙන් හඳුන්වනු ලැබුවා
15206,අවශ්‍ය තැන ඒ යොදාගැනීම පමණක් නොව හැකිනම් හා අවශ්‍යතාවක් ඇත්නම් ඒ සිංහල බෞද්ධ සංස්කෘතියට අවශෝෂණය කර ගැනීමට ද අප උනන්දු විය යුතු ය
141112,සාමාන්‍යයෙන් චන්ද්‍ර මාසයක් ආරම්භ වන සූර්ය මාසයෙන් නොවෙයි අවසන් වන්නෙ
15319,අවශ්‍ය නමි ඒ සඳහා ඊළඟ අවුරුද්ද තෙක් කල්ගත හැකි ය දියුණු කරන ලද මනසට සූර්යයාට සාපේක්ෂව පෘථිවියේ චලනය දැකගත හැකි විය
59265,ඒත් අර අවුරුදු දෙකහමාරකට පමණ වරක් චන්ද්‍ර මාසයක් යම් සූර්ය මාසයකින් ආරම්භ වෙලා ඒ සූර්ය මාසයෙන් ම අවසන් වෙනවා
15793,අවුරුද්ද සිංහලයන්ගේ උත්සවයක් වුණත් අප එය සූර්යයා රේවති නැකතින් අස්විද නැකතට හරි මීනෙන් මේෂයට හරි සංක්‍රමණය වීම පදනම් කරගෙන පටන් ගත්තත් එහි ප්‍රධාන කාර්යය හිස තෙල් ගා ස්නානය කිරීම වුවත් අප සුපුරුදු පරිදි ඉන්දියාවේ හින්දු ආභාසය නිසා අද සූර්යයා මීනයෙන් මේෂයට යෑම පදනම් කරගෙන අවුරුද්ද පවත්වනවා
